customer_id,connected_banks,total_balance,total_loans,total_credit_card_balance,total_bnpl_balance,total_monthly_commitments,total_income,debt_to_income_ratio,credit_utilization,financial_stability_score,default_probability,risk_level,recommendation,explainable_reason
CUS000001,2,419498.11,0.0,0.0,939.45,18.42,23662.0,0.0008,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000002,1,63973.7,0.0,0.0,0.0,0.0,13354.0,0.0,0.0,98.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000003,3,173342.13,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000004,1,94247.08,0.0,0.0,0.0,0.0,48348.0,0.0,0.0,95.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000005,2,304614.08,317727.95,0.0,0.0,22694.85,15808.0,1.4357,0.0,73.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000006,1,656.02,0.0,0.0,0.0,0.0,189.0,0.0,0.0,90.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000007,4,233752.36,13662.37,0.0,0.0,1366.24,5855.0,0.2333,0.0,93.0,0.1,Low,Approve,Excellent Repayment Capacity
CUS000008,2,293207.54,36025.59,1498.7,335.96,1695.5,19792.0,0.0857,0.0252,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000009,2,226457.84,0.0,0.0,0.0,0.0,13882.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000010,2,637246.61,0.0,0.0,0.0,0.0,17045.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000011,3,1679373.73,99475.44,0.0,0.0,2260.81,55557.0,0.0407,,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000012,4,269612.76,0.0,0.0,0.0,0.0,10362.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000013,2,612087.41,637852.05,8659.59,243.85,28153.2,21167.0,1.3301,0.1364,73.0,0.45,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000014,3,545204.92,0.0,0.0,0.0,0.0,18628.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000015,3,242283.8,0.0,41374.23,0.0,1683.12,11337.0,0.1485,1.0,86.0,0.15,Low,Approve,High Credit Card Utilization
CUS000016,3,557716.89,150404.45,0.0,2455.85,4323.02,19669.0,0.2198,0.0,100.0,0.05,Low,Approve,High BNPL Exposure
CUS000017,3,95187.3,0.0,0.0,0.0,0.0,2030.0,0.0,0.0,93.0,0.15,Low,Approve,Excellent Repayment Capacity
CUS000018,4,829905.25,0.0,0.0,1302.17,22.85,19303.0,0.0012,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000019,5,1807450.21,0.0,0.0,0.0,0.0,47614.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000020,1,92925.81,650766.12,62024.41,0.0,42021.24,24219.0,1.7351,0.8537,55.0,0.55,High,Reject,High Debt-to-Income Ratio | Multiple Active Loans
CUS000021,2,53819.67,0.0,0.0,0.0,0.0,8195.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000022,1,159585.8,0.0,0.0,0.0,0.0,8573.0,0.0,0.0,98.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000023,4,420653.0,165186.61,0.0,658.66,2963.48,13115.0,0.226,0.0,100.0,0.05,Low,Approve,Multiple Active Loans
CUS000024,4,1236848.62,0.0,0.0,0.0,0.0,23088.0,0.0,0.0,100.0,0.05,Low,Approve,Excellent Repayment Capacity
CUS000025,2,198536.57,0.0,19068.13,0.0,1101.58,7479.0,0.1473,0.8499,,0.2,Medium,Manual Review,High Credit Card Utilization
