obligation_id,customer_id,provider,obligation_type,total_amount,remaining_amount,monthly_payment,interest_rate,status
OBL0000001,CUS000001,Tamara,Tamara,1771.91,939.45,18.42,0.0,Active
OBL0000002,CUS000002,SAB,Credit Card,37956.0,0.0,0.0,19.55,Closed
OBL0000003,CUS000002,Abdul Latif Jameel Finance,Auto Loan,156907.68,0.0,0.0,6.61,Closed
OBL0000004,CUS000005,Al Rajhi Bank,Mortgage,607818.81,317727.95,22694.85,3.42,Active
OBL0000005,CUS000007,Bank Albilad,Auto Loan,165284.45,13662.37,1366.24,7.36,Active
OBL0000006,CUS000008,SNB,Auto Loan,47025.32,36025.59,1637.53,3.15,Active
OBL0000007,CUS000008,Tabby,Tabby,810.45,335.96,28.0,0.0,Overdue
OBL0000008,CUS000008,Bank AlJazira,Credit Card,13400.96,1498.7,29.97,21.77,Active
OBL0000009,CUS000008,Riyad Bank,Mortgage,1372422.35,0.0,0.0,2.84,Closed
OBL0000010,CUS000011,Al Jazirah Auto,Auto Loan,100929.68,0.0,0.0,6.3,Closed
OBL0000011,CUS000011,Riyad Bank,Auto Loan,153678.36,99475.44,2260.81,4.46,Active
OBL0000012,CUS000011,SNB,Mortgage,2951556.46,0.0,0.0,3.25,Closed
OBL0000013,CUS000013,Tamara,Tamara,3557.13,243.85,10.6,0.0,Active
OBL0000014,CUS000013,Riyad Bank,Mortgage,1637695.1,558099.83,20670.36,3.77,Active
OBL0000015,CUS000013,Al Rajhi Bank,Credit Card,17142.45,8659.59,222.04,27.27,Active
OBL0000016,CUS000013,Al Rajhi Bank,Auto Loan,94022.61,79752.22,7250.2,4.49,Active
OBL0000017,CUS000015,Al Rajhi Bank,Credit Card,33969.1,26735.18,652.08,27.7,Active
OBL0000018,CUS000015,SAB,Credit Card,10435.01,2486.84,52.91,24.78,Active
OBL0000019,CUS000015,Bank Albilad,Credit Card,31398.6,10426.34,947.85,20.22,Active
OBL0000020,CUS000015,Bank Albilad,Credit Card,25725.75,1725.87,30.28,25.42,Active
OBL0000021,CUS000016,Tabby,Tabby,1220.42,1133.67,25.77,0.0,Active
OBL0000022,CUS000016,Bank AlJazira,Personal Loan,204842.68,150404.45,3856.52,7.07,Overdue
OBL0000023,CUS000016,Tabby,Tabby,2674.01,1322.18,440.73,0.0,Active
OBL0000024,CUS000018,Tabby,Tabby,3273.78,1302.17,22.85,0.0,Active
OBL0000025,CUS000018,SAB,Mortgage,1817880.69,0.0,0.0,2.64,Closed
OBL0000026,CUS000019,Tamara,Tamara,902.05,0.0,0.0,0.0,Closed
OBL0000027,CUS000020,Alinma Bank,Credit Card,58297.3,0.0,0.0,25.48,Closed
OBL0000028,CUS000020,SNB,Mortgage,867918.48,650766.12,40672.88,5.02,Active
OBL0000029,CUS000020,Riyad Bank,Credit Card,70104.68,62024.41,1348.36,18.43,Active
OBL0000030,CUS000023,Riyad Bank,Personal Loan,238731.25,165186.61,2949.76,7.53,Active
OBL0000031,CUS000023,Tabby,Tabby,1940.35,658.66,13.72,0.0,Active
OBL0000032,CUS000025,Bank AlJazira,Credit Card,17371.94,15825.81,930.93,,Active
OBL0000033,CUS000025,Saudi Investment Bank,Credit Card,6975.2,3242.32,170.65,28.43,Active
OBL0000034,CUS000026,SAB,Credit Card,32970.95,9131.92,186.37,21.4,Active
OBL0000035,CUS000026,SAB,Credit Card,15262.66,4865.28,162.18,22.36,Active
OBL0000036,CUS000026,Tamara,Tamara,1188.71,0.0,0.0,0.0,Closed
OBL0000037,CUS000027,Alinma Bank,Credit Card,13271.06,0.0,0.0,19.53,Closed
OBL0000038,CUS000027,Bank AlJazira,Credit Card,37987.53,819.23,204.81,21.46,Active
OBL0000039,CUS000027,Tamara,Tamara,4926.12,1483.33,52.98,0.0,Active
OBL0000040,CUS000027,Tamara,Tamara,1123.3,0.0,0.0,0.0,Closed
OBL0000041,CUS000031,Tamara,Tamara,2900.51,2106.81,58.52,0.0,Active
OBL0000042,CUS000031,Bank Albilad,Personal Loan,56996.88,0.0,0.0,7.8,Closed
OBL0000043,CUS000031,SAB,Auto Loan,142934.82,129083.8,4610.14,3.7,Active
OBL0000044,CUS000034,Saudi Investment Bank,Credit Card,49348.16,19352.22,552.92,26.98,Active
OBL0000045,CUS000034,Saudi Investment Bank,Auto Loan,145315.45,32482.7,2706.89,3.22,Overdue
OBL0000046,CUS000034,Abdul Latif Jameel Finance,Auto Loan,59383.72,31694.47,1584.72,7.09,Deferred
OBL0000047,CUS000035,Tabby,Tabby,3299.02,2890.11,111.16,0.0,Active
OBL0000048,CUS000035,Tabby,Tabby,2062.76,0.0,0.0,0.0,Closed
OBL0000049,CUS000035,Alinma Bank,Mortgage,820629.26,740956.54,21170.19,5.34,Overdue
